ad_id,suburb,title,address,price_raw,price_lkr,bedrooms,floor_sqft,url,land_perches,bathrooms
5721840,Kegalle,5 Bedroom house in Kegalle / Rs. 34.6 million / Rs....,"With or Without Land, Kegalle",Rs. 34.65M[Build Cost Only],34650000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5721840.html,12.0,5.0
5721671,Madapatha,4 Bedroom house in Madapatha for Rs. 19.8 million /...,"With or Without Land, Madapath..",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5721671.html,7.0,2.0
5721696,Mount Lavinia,4 Bedroom House New Construction in Mount Lavinia for...,"With or Without Land, Mount La..",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5721696.html,7.0,2.0
5721710,Seeduwa,4 Bedroom house in Seeduwa for Rs. 19.8 million /...,"With or Without Land, Seeduwa",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5721710.html,7.0,2.0
5870020,Pannipitiya,(DH842) Paddy Field View Luxury 2 Storey House for...,,Rs. 105M,105000000.0,4.0,4000.0,https://www.lankapropertyweb.com/sale/property_details-5870020.html,8.0,4.0
5721720,Seeduwa,3 Bedroom house New Construction in Seeduwa for Rs....,"With or Without Land, Seeduwa",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5721720.html,7.0,2.0
5721728,Seeduwa,2 Bedroom House Construction in Seeduwa for Rs. 14.6...,"With or Without Land, Seeduwa",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5721728.html,7.0,2.0
5722073,Pita Kotte,Luxury 3 Bedroom house in Pita Kotte // Rs. 23.6 million...,"With or Without Land, Pita Kot..",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722073.html,7.0,2.0
5722093,Colombo 5,Super Luxury 5 Bedroom House Construction in Colombo...,"With or Without Land, Colombo ..",Rs. 34.65M[Build Cost Only],34650000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5722093.html,12.0,5.0
5870018,Kottawa,(DH823) Brand New Two Story House for Sale in Kottawa,,Rs. 32.5M,32500000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5870018.html,7.5,4.0
5722094,Colombo 5,Ultra Modern 4 Bedroom House Construction in Colombo...,"With or Without Land, Colombo ..",Rs. 34.69M[Build Cost Only],34690000.0,4.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5722094.html,7.0,4.0
5722189,Ahangama,Super Luxury 5 Bedroom house in Ahangama for Rs. 34.6...,"With or Without Land, Ahangama",Rs. 34.65M[Build Cost Only],34650000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5722189.html,12.0,5.0
5722190,Panadura,Ultra Modern 4 Bedroom house in Panadura for Rs. 31.1...,"With or Without Land, Panadura",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5722190.html,7.0,4.0
5722191,Panadura,3 Bedroom Luxury House in Panadura for Rs. 23.6 million...,"With or Without Land, Panadura",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722191.html,7.0,2.0
5722195,Panadura,4 Bedroom house in Panadura for Rs. 19.8 million /...,"With or Without Land, Panadura",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722195.html,7.0,2.0
5722197,Panadura,2 Bedroom house in Panadura for Rs. 14.6 million /...,"With or Without Land, Panadura",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5722197.html,7.0,2.0
5870017,Kadawatha,(B295) Luxury Three Storey House for Sale in Kadawatha,,Rs. 90M,90000000.0,6.0,4000.0,https://www.lankapropertyweb.com/sale/property_details-5870017.html,15.75,4.0
5722204,Athurugiriya,4 Bedroom House Construction in Athurugiriya / Rs....,"With or Without Land, Athurugi..",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5722204.html,7.0,4.0
5722206,Athurugiriya,3 Bedroom house in Athurugiriya for Rs. 23.6 million...,"With or Without Land, Athurugi..",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722206.html,7.0,2.0
5722207,Athurugiriya,4 Bedroom house for sale in Athurugiriya / Rs. 19.8...,"With or Without Land, Athurugi..",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722207.html,7.0,2.0
5722115,Mattegoda,Ultra Modern 4 Bedroom house in Mattegoda for Rs. 31.1...,"With or Without Land, Mattegod..",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5722115.html,7.0,4.0
5722119,Mattegoda,4 Bedroom House Construction in Mattegoda for Rs. 19.8...,"With or Without Land, Mattegod..",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722119.html,7.0,2.0
5722125,Mattegoda,3 Bedroom House Construction in Mattegoda for Rs. 23.6...,"With or Without Land, Mattegod..",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722125.html,7.0,2.0
5870015,Ja Ela,(B228) Newly Built Modern Luxury House for Sale –...,,Rs. 36.5M,36500000.0,4.0,2600.0,https://www.lankapropertyweb.com/sale/property_details-5870015.html,10.0,3.0
5722144,Angoda,Ultra Modern 4 Bedroom House Construction in Angoda...,"With or Without Land, Angoda",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5722144.html,7.0,4.0
5722146,Nuwara Eliya,3 Bedroom House Construction in Nuwara Eliya for Rs....,"With or Without Land, Nuwara E..",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722146.html,7.0,2.0
5722154,Colombo 2,Ultra Modern 4 Bedroom house in Colombo 2 // Rs. 31.18...,"With or Without Land, Colombo ..",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5722154.html,7.0,4.0
5853906,Asgiriya,"Two-Storey House for Sale – Asgiriya, Gampaha.","Anicut Junction, Asgiriya",Rs. 34.5M,34500000.0,4.0,2400.0,https://www.lankapropertyweb.com/sale/property_details-5853906.html,28.0,2.0
5722162,Kesbewa,Ultra Modern 4 Bedroom House in Kesbewa for Rs. 31.1...,"With or Without Land, Kesbewa",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5722162.html,7.0,4.0
5722166,Kesbewa,4 Bedroom House in Kesbewa for Rs. 19.8 million / Rs....,"With or Without Land, Kesbewa",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722166.html,7.0,2.0
5722169,Colombo 2,4 Bedroom House Construction in Colombo 2 / Rs. 19.8...,"With or Without Land, Colombo ..",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722169.html,7.0,2.0
5722173,Colombo 2,Super Luxury 5 Bedroom House Construction in Colombo...,"With or Without Land, Colombo ..",Rs. 34.65M[Build Cost Only],34650000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5722173.html,12.0,5.0
5722091,Pita Kotte,Super Luxury 5 Bedroom house for sale in Pita Kotte...,"With or Without Land, Pita Kot..",Rs. 34.65M[Build Cost Only],34650000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5722091.html,12.0,5.0
5722092,Kesbewa,3 Bedroom House Construction in Kesbewa // Rs. 23.6...,"With or Without Land, Kesbewa",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5722092.html,7.0,2.0
5723605,Kegalle,Luxury 3 Bedroom house Construction in Kegalle for...,"With or Without Land, Kegalle",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5723605.html,7.0,2.0
5723606,Kegalle,4 Bedroom House Construction in Kegalle for Rs. 19.8...,"With or Without Land, Kegalle",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5723606.html,7.0,2.0
5723608,Kegalle,4 Bedroom house in Kegalle for Rs. 31.1 million //...,"With or Without Land, Kegalle",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5723608.html,7.0,4.0
5723620,Pepiliyana,Super Luxury 3 Bedroom Modern House Construction in...,"With or Without Land, Pepiliya..",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5723620.html,7.0,2.0
5723624,Negombo,2 Bedroom Pool Villa Construction in Negombo for Rs....,"With or Without Land, Negombo",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5723624.html,7.0,2.0
